#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AD5905
#Date Time: 2022-07-04 14:04:29.520
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Custom
#Type: 3.0.csv
#Frequency: 250 Hz
#Period: 4 ms
#Amplitude: 2 V
#Offset: 0 V
#Phase: 0 бу

Time (s),Channel 1 (V),Channel 2 (V)
-0.004680111035916824,-0.009345238957674822,-0.03349607900551201
-0.004679481035916824,-0.009345238957675129,-0.03349607900551185
-0.004678851035916825,-0.01001940747156112,-0.03316245857674222
-0.004678221035916825,-0.009682323214618123,-0.03282883814797256
-0.004677591035916825,-0.009682323214617971,-0.03282883814797241
-0.004676961035916825,-0.009008154700731673,-0.03249521771920262
-0.004676331035916825,-0.008333986186845683,-0.03282883814797226
-0.004675701035916824,-0.00765981767296015,-0.03282883814797256
-0.004675071035916824,-0.01001940747156112,-0.03316245857674222
-0.004674441035916825,-0.01069357598544711,-0.03349607900551185
-0.004673811035916825,-0.01001940747156173,-0.03349607900551201
-0.004673181035916824,-0.009008154700731673,-0.03316245857674222
-0.004672551035916825,-0.009008154700731673,-0.03316245857674222
-0.004671921035916824,-0.00900815470073198,-0.03382969943428149
-0.004671291035916824,-0.009345238957674362,-0.03349607900551185
-0.004670661035916825,-0.008333986186845376,-0.03316245857674222
-0.004670031035916825,-0.008333986186845376,-0.03349607900551185
-0.004669401035916825,-0.009008154700731061,-0.03349607900551201
-0.004668771035916825,-0.009682323214617971,-0.03349607900551201
-0.004668141035916824,-0.009008154700731673,-0.0334960790055117
-0.004667511035916824,-0.009008154700731826,-0.03316245857674237
-0.004666881035916825,-0.009345238957674822,-0.03349607900551201
-0.004666251035916825,-0.009345238957674822,-0.03316245857674237
-0.004665621035916825,-0.008671070443789137,-0.0334960790055117
-0.004664991035916824,-0.009008154700731673,-0.03316245857674222
-0.004664361035916825,-0.009682323214617664,-0.03316245857674222
-0.004663731035916824,-0.009682323214617664,-0.03382969943428134
-0.004663101035916824,-0.009008154700731061,-0.03282883814797226
-0.004662471035916825,-0.007659817672959078,-0.03249521771920262
-0.004661841035916825,-0.00664856490213009,-0.03249521771920262
-0.004661211035916824,-0.006311480645186175,-0.03216159729043282
-0.004660581035916825,-0.005637312131300183,-0.03216159729043282
-0.004659951035916824,-0.009008154700734433,-0.03282883814797272
-0.004659321035916824,-0.01204191301322001,-0.03316245857674222
-0.004658691035916825,-0.01204191301322001,-0.03316245857674222
-0.004658061035916825,-0.01001940747156204,-0.03282883814797256
-0.004657431035916825,-0.009345238957675434,-0.03316245857674191
-0.004656801035916825,-0.009008154700731673,-0.03349607900551201
-0.004656171035916824,-0.009345238957674822,-0.03349607900551201
-0.004655541035916824,-0.009345238957674975,-0.03349607900551201
-0.004654911035916824,-0.009682323214617971,-0.03349607900551201
-0.004654281035916825,-0.01035649172850396,-0.03282883814797272
-0.004653651035916825,-0.01103066024238995,-0.03282883814797241
-0.004653021035916824,-0.01035649172850427,-0.03282883814797241
-0.004652391035916825,-0.008671070443788524,-0.03282883814797241
-0.004651761035916824,-0.008671070443789751,-0.03316245857674222
-0.004651131035916824,-0.01001940747156097,-0.03316245857674222
-0.004650501035916825,-0.009682323214617971,-0.03316245857674222
-0.004649871035916825,-0.009345238957674975,-0.03349607900551185
-0.004649241035916825,-0.01035649172850335,-0.03349607900551201
-0.004648611035916825,-0.01069357598544742,-0.03349607900551201
-0.004647981035916824,-0.01069357598544773,-0.03349607900551231
-0.004647351035916824,-0.01103066024239011,-0.03382969943428164
-0.004646721035916825,-0.01001940747156112,-0.03349607900551201
-0.004646091035916825,-0.009008154700732133,-0.03382969943428164
-0.004645461035916825,-0.008333986186845988,-0.03316245857674282
-0.004644831035916825,-0.007322733416015928,-0.03316245857674222
-0.004644201035916825,-0.008671070443787912,-0.03316245857674222
-0.004643571035916824,-0.01069357598544696,-0.03349607900551201
-0.004642941035916824,-0.009682323214617971,-0.03349607900551201
-0.004642311035916825,-0.008333986186845988,-0.03382969943428164
-0.004641681035916825,-0.008671070443788372,-0.03349607900551216
-0.004641051035916824,-0.009008154700731521,-0.03316245857674206
-0.004640421035916825,-0.008671070443788524,-0.03282883814797241
-0.004639791035916824,-0.009345238957675129,-0.03282883814797241
-0.004639161035916824,-0.009682323214618123,-0.03282883814797256
-0.004638531035916825,-0.01001940747156112,-0.03316245857674222
-0.004637901035916825,-0.01035649172850412,-0.03282883814797256
-0.004637271035916825,-0.009682323214618583,-0.03282883814797241
-0.004636641035916825,-0.009345238957674822,-0.03316245857674222
-0.004636011035916824,-0.009008154700731673,-0.03316245857674191
-0.004635381035916824,-0.009008154700731213,-0.03282883814797241
-0.004634751035916825,-0.007996901929902225,-0.03282883814797241
-0.004634121035916825,-0.007659817672959231,-0.03316245857674206
-0.004633491035916825,-0.007322733416016234,-0.03316245857674222
-0.004632861035916824,-0.007322733416015928,-0.03282883814797241
-0.004632231035916825,-0.009345238957673902,-0.03282883814797241
-0.004631601035916824,-0.01170482875627687,-0.0338296994342818
-0.004630971035916824,-0.01170482875627641,-0.0338296994342818
-0.004630341035916825,-0.01069357598544742,-0.0338296994342818
-0.004629711035916825,-0.00833398618684645,-0.03282883814797287
-0.004629081035916824,-0.007996901929902992,-0.03282883814797272
-0.004628451035916825,-0.009682323214617971,-0.03349607900551201
-0.004627821035916824,-0.01069357598544619,-0.0334960790055114
-0.004627191035916824,-0.009345238957674669,-0.03282883814797256
-0.004626561035916825,-0.009008154700731673,-0.03316245857674222
-0.004625931035916825,-0.009345238957674669,-0.03316245857674222
-0.004625301035916825,-0.009682323214617664,-0.03316245857674222
